财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
销售费用率,="000651",="格力电器",=0.0516,=0.0840,=0.0597,=0.0616,=0.0775,=0.0924,=0.0954,=0.1124,=0.1521
销售费用率,="000333",="美的集团",=0.0952,=0.0938,=0.0835,=0.0840,=0.0968,=0.1244,=0.1197,=0.1111,=0.1112
管理费用率,="000651",="格力电器",=0.0320,=0.0321,=0.0279,=0.0216,=0.0214,=0.0192,=0.0220,=0.0409,=0.0507
管理费用率,="000333",="美的集团",=0.0356,=0.0362,=0.0337,=0.0301,=0.0326,=0.0343,=0.0369,=0.0614,=0.0605
研发费用率,="000651",="格力电器",=0.0365,=0.0332,=0.0332,=0.0335,=0.0360,=0.0297,=0.0353,,
研发费用率,="000333",="美的集团",=0.0399,=0.0392,=0.0367,=0.0352,=0.0356,=0.0346,=0.0323,,
财务费用率,="000651",="格力电器",=-0.0174,=-0.0173,=-0.0117,=-0.0120,=-0.0115,=-0.0122,=-0.0048,=0.0029,=-0.0447
财务费用率,="000333",="美的集团",=-0.0082,=-0.0088,=-0.0098,=-0.0129,=-0.0093,=-0.0080,=-0.0070,=0.0034,=-0.0063
营业费用率,="000651",="格力电器",=0.1201,=0.1492,=0.1208,=0.1167,=0.1350,=0.1413,=0.1527,=0.1533,=0.2028
营业费用率,="000333",="美的集团",=0.1707,=0.1692,=0.1539,=0.1492,=0.1650,=0.1933,=0.1888,=0.1725,=0.1716
四项费用率,="000651",="格力电器",=0.1026,=0.1319,=0.1091,=0.1047,=0.1234,=0.1290,=0.1479,=0.1562,=0.1581
四项费用率,="000333",="美的集团",=0.1625,=0.1604,=0.1440,=0.1364,=0.1557,=0.1853,=0.1818,=0.1759,=0.1653
加：其他收益,="000651",="格力电器",=2724657818,=900669136,=879809512,=832177253,=1164120111,=936148645,=408553206,=401088767,=0
加：其他收益,="000333",="美的集团",=3234844000,=2082382000,=1896113000,=1307504000,=1424090000,=1194665000,=1316904000,=1311123000,=0
投资收益,="000651",="格力电器",=560281846,=217156605,=86883942,=522063223,=713010072,=-226634781,=106768935,=396648138,=-2221356325
投资收益,="000333",="美的集团",=1442940000,=463561000,=208054000,=2365773000,=2362462000,=164132000,=907326000,=1830221000,=1285961000
(其中)对联营企业及合营企业的投资收益,="000651",="格力电器",=14219876,=93222443,=-3324287,=51594929,=35314343,=-20983249,=560514,=6487470,=8034446
(其中)对联营企业及合营企业的投资收益,="000333",="美的集团",=847098000,=680759000,=608278000,=560679000,=402528000,=506225000,=349321000,=310016000,=165904000
(其中)以摊余成本计量的金融资产终止确认产生的投资收益,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
