财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
股东权益占比,="000333",="美的集团",=0.3767,=0.3586,=0.3595,=0.3475,=0.3447,=0.3560,=0.3506,=0.3342,=0.4043
股本,="000651",="格力电器",=5601405741,=5631405741,=5631405741,=5914469040,=6015730878,=6015730878,=6015730878,=6015730878,=6015730878
股本,="000333",="美的集团",=7655956000,=7025769000,=6997273000,=6986564000,=7029976000,=6971900000,=6663031000,=6561053000,=6458767000
其他权益工具,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他权益工具,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)优先股,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)优先股,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)永续债,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)永续债,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
资本公积,="000651",="格力电器",=472179370,=1352522394,=496102012,=125874128,=121850281,=93379501,=93379501,=103880601,=183400627
资本公积,="000333",="美的集团",=49919950000,=21243156000,=19693139000,=20516930000,=22488105000,=19640313000,=18451307000,=15911504000,=13596569000
减：库存股,="000651",="格力电器",=2616565977,=4942723911,=5643935588,=19579646233,=5182273854,=0,=0,=0,=0
减：库存股,="000333",="美的集团",=5728446000,=12871738000,=14933944000,=14044550000,=6094347000,=3759732000,=4918427000,=366842000,=0
其他综合收益,="000651",="格力电器",=182018286,=275538293,=2042901605,=11204004355,=7396060195,=6260291981,=-550806052,=-91700671,=-177172014
其他综合收益,="000333",="美的集团",=-517939000,=-164202000,=108289000,=-1758948000,=-1549003000,=-711554000,=-1332153000,=-244692000,=13125000
专项储备,="000651",="格力电器",=31676130,=26969643,=25845351,=22403846,=0,=0,=0,=0,=0
专项储备,="000333",="美的集团",=18275000,=16040000,=16350000,=15542000,=12730000,=0,=0,=0,=0
盈余公积,="000651",="格力电器",=1789443715,=1731130024,=2241118693,=1983727108,=3499671557,=3499671557,=3499671557,=3499671557,=3499671557
盈余公积,="000333",="美的集团",=10702928000,=10702928000,=10702928000,=9449901000,=7966362000,=6447658000,=5079096000,=3882232000,=2804469000
一般风险准备金,="000651",="格力电器",=509245481,=507223117,=507223117,=505599356,=497575772,=489855827,=329417571,=327347622,=267370640
一般风险准备金,="000333",="美的集团",=1107801000,=642525000,=671999000,=719922000,=587984000,=366947000,=366947000,=366947000,=148602000
未分配利润,="000651",="格力电器",=131447496201,=112211650802,=91458073961,=103475223000,=102841596378,=93794643539,=81939701614,=55740076086,=44074949590
未分配利润,="000333",="美的集团",=153591532000,=136284347000,=119679202000,=102982763000,=87074453000,=72713631000,=58762315000,=47627235000,=38105391000
外币报表折算差额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
外币报表折算差额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
归属于母公司股东及其他权益持有者的权益合计,="000651",="格力电器",=137416898946,=116793716103,=96758734892,=103651654600,=115190211207,=110153573283,=91327095069,=65595006072,=53863951278
归属于母公司股东及其他权益持有者的权益合计,="000333",="美的集团",=216750057000,=162878825000,=142935236000,=124868124000,=117516260000,=101669163000,=83072116000,=73737437000,=61126923000
归属于母公司普通股股东权益合计,="000651",="格力电器",=137416898946,=116793716103,=96758734892,=103651654600,=115190211207,=110153573283,=91327095069,=65595006072,=53863951278
归属于母公司普通股股东权益合计,="000333",="美的集团",=216750057000,=162878825000,=142935236000,=124868124000,=117516260000,=101669163000,=83072116000,=73737437000,=61126923000
归属于母公司普通股股东的每股股东权益,="000651",="格力电器",=24.5326,=20.7397,=17.1820,=17.5251,=19.1482,=18.3109,=15.1814,=10.9039,=8.9538
归属于母公司普通股股东的每股股东权益,="000333",="美的集团",=28.3113,=23.1831,=20.4273,=17.8726,=16.7165,=14.5827,=12.4676,=11.2387,=9.4642
少数股东权益,="000651",="格力电器",=4096796002,=3852437313,=5117313122,=4273796567,=1690275881,=1894083240,=1387616658,=1239791691,=1059651512
少数股东权益,="000333",="美的集团",=10917334000,=11420824000,=8988566000,=9956952000,=6720840000,=5826934000,=9382401000,=9187734000,=7849773000
员工情况,,,,,,,,,,,
员工人数,="000651",="格力电器",,,,,,,,,
员工人数,="000333",="美的集团",,,,,,,,,
博士人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
博士人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
硕士人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
硕士人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
学士人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
学士人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
大专人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
大专人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
高中及以下人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
高中及以下人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
生产人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
生产人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
销售人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
销售人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
技术人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
技术人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
财务人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
财务人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
行政人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
行政人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他人员人数,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他人员人数,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
股本、股东以及估值,,,,,,,,,,,
市值,="000651",="格力电器",=254583890928.4500,=181162322687.9700,=182007033549.1200,=219012788551.2000,=372614370583.3200,=394511631110.4000,=214701435107.2000,=262887439456.0001,=148107294265.6000
市值,="000333",="美的集团",=569431708448.2000,=383753756399.0401,=362379802706.6000,=515678277325.6400,=692030837341.5599,=406113150185.5000,=244267958369.1800,=361383489885.1400,=180990398076.0300
总股本,="000651",="格力电器",=5601405741,=5631405741,=5631405741,=5914469040,=6015730878,=6015730878,=6015730878,=6015730878,=6015730878
总股本,="000333",="美的集团",=7655955883,=7025769025,=6997273076,=6986563844,=7029975999,=6971899574,=6663030506,=6561053319,=6458766808
流通股本,="000651",="格力电器",=5514949814,=5583149620,=5592138802,=5868891715,=5969908834,=5969931253,=5970717628,=5969568329,=5970602379
流通股本,="000333",="美的集团",=6890705959,=6892205935,=6853658060,=6830024963,=6847113368,=6806497061,=6515855746,=6349030409,=6179721548
总股东人数(季度),="000651",="格力电器",=426379,=613839,=743864,=949288,=480000,=308228,=551582,=357373,=396962
总股东人数(季度),="000333",="美的集团",=251705,=318676,=404913,=374562,=226871,=172279,=228273,=142730,=107577
A股股东人数(季度),="000651",="格力电器",=426379,=613839,=743864,=949288,=480000,=308228,=551582,=357373,=396962
A股股东人数(季度),="000333",="美的集团",=251644,=318676,=404913,=374562,=226871,=172279,=228273,=142730,=107577
第一大股东持仓占总股本比例,="000651",="格力电器",=0.1611,=0.1602,=0.1602,=0.1526,=0.1870,=0.1822,=0.1822,=0.1822,=0.1822
第一大股东持仓占总股本比例,="000333",="美的集团",=0.2833,=0.3087,=0.3100,=0.3105,=0.3086,=0.3173,=0.3320,=0.3371,=0.3475
前十大股东持仓占总股本比例,="000651",="格力电器",=0.4288,=0.4426,=0.4444,=0.4419,=0.5279,=0.5015,=0.4498,=0.4609,=0.4080
前十大股东持仓占总股本比例,="000333",="美的集团",=0.6023,=0.5929,=0.6114,=0.5886,=0.5651,=0.6005,=0.5949,=0.5628,=0.4952
前十大流通股东持仓占流通股本比例,="000651",="格力电器",=0.4234,=0.4404,=0.4448,=0.4422,=0.5299,=0.5027,=0.4532,=0.4645,=0.4111
前十大流通股东持仓占流通股本比例,="000333",="美的集团",=0.5634,=0.5926,=0.6126,=0.5904,=0.5691,=0.6016,=0.5954,=0.5661,=0.5025
进公募基金前十大持仓占流通股本比例,="000651",="格力电器",=0.0732,=0.0376,=0.0182,=0.0152,=0.0426,=0.0815,=0.0599,=0.0784,=0.0490
进公募基金前十大持仓占流通股本比例,="000333",="美的集团",=0.1289,=0.0683,=0.0343,=0.0499,=0.0998,=0.0650,=0.0463,=0.0605,=0.0452
公募基金持仓占流通股本比例,="000651",="格力电器",=0.1404,=0.0685,=0.0418,=0.0314,=0.0647,=0.0961,=0.0709,=0.0951,=0.0722
公募基金持仓占流通股本比例,="000333",="美的集团",=0.1423,=0.0851,=0.0563,=0.0712,=0.1217,=0.0781,=0.0584,=0.0699,=0.0601
公募基金+自由流通股东持仓占自由流通股本比例,="000651",="格力电器",=0.3826,=0.3616,=0.3334,=0.3095,=0.4709,=0.4408,=0.3450,=0.3938,=0.2889
公募基金+自由流通股东持仓占自由流通股本比例,="000333",="美的集团",=0.5320,=0.5297,=0.5156,=0.5041,=0.5474,=0.5255,=0.4759,=0.4413,=0.3131
PE-TTM,="000651",="格力电器",=8.2426,=6.8897,=7.0756,=9.0797,=22.8909,=14.5031,=7.6517,=13.3767,=10.7256
PE-TTM,="000333",="美的集团",=15.1037,=11.6994,=12.2474,=17.9930,=27.7773,=17.1743,=12.1010,=21.4159,=12.4798
PE-TTM(扣非),="000651",="格力电器",=8.6259,=7.3542,=7.0945,=9.7486,=24.5319,=15.2911,=7.9791,=13.5126,=10.3622
PE-TTM(扣非),="000333",="美的集团",=15.5961,=12.2281,=13.2110,=19.4130,=33.5683,=15.9070,=12.9268,=23.7270,=13.1461
PB,="000651",="格力电器",=2.0150,=1.6122,=1.9016,=2.3732,=3.4253,=3.9141,=2.4768,=4.4843,=2.9773
PB,="000333",="美的集团",=2.7260,=2.4564,=2.6027,=4.3506,=6.1308,=4.1338,=2.9478,=5.0744,=3.0999
PB(不含商誉),="000651",="格力电器",=2.0412,=1.6364,=1.9374,=2.3784,=3.4356,=3.9282,=2.4768,=4.4843,=2.9773
PB(不含商誉),="000333",="美的集团",=3.1949,=3.0391,=3.2310,=5.7507,=8.2443,=5.8649,=4.5879,=8.4837,=3.3815
PS-TTM,="000651",="格力电器",=1.2948,=0.9167,=0.9171,=1.1996,=2.1752,=1.9091,=1.1418,=1.8999,=1.4714
PS-TTM,="000333",="美的集团",=1.4176,=1.0476,=1.0289,=1.5584,=2.5132,=1.4704,=0.9339,=1.5676,=1.2535
PCF-TTM,="000651",="格力电器",=8.6257,=3.9550,=10.1730,=9.6616,=-206.5522,=8.8462,=8.3563,=40.8427,=6.8679
PCF-TTM,="000333",="美的集团",=7.7601,=7.6793,=9.8829,=15.8968,=20.4653,=10.6698,=10.1929,=13.0345,=6.5031
股息率,="000651",="格力电器",=0.0516,=0.0310,=0.0918,=0.0799,=0.0354,=0.0229,=0.0168,=0.0412,=0.0609
股息率,="000333",="美的集团",=0.0361,=0.0448,=0.0322,=0.0215,=0.0161,=0.0211,=0.0323,=0.0179,=0.0283

数据来源于：理杏仁网站(lixinger.com)
