财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
合同资产,="000651",="格力电器",=592399552,=838812134,=1047739818,=1151228473,=78545526,=0,=0,=0,=0
合同资产,="000333",="美的集团",=3499556000,=4045925000,=4498956000,=3823476000,=3236848000,=0,=0,=0,=0
持有待售资产,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
持有待售资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
发放贷款及垫款(流动),="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
发放贷款及垫款(流动),="000333",="美的集团",=11047886000,=14296958000,=14138756000,=20656600000,=16469069000,=10869396000,=11328392000,=12178953000,=0
待摊费用,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
待摊费用,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
一年内到期的非流动资产,="000651",="格力电器",=13854786731,=2411633459,=3314191633,=11033571933,=0,=445397710,=0,=0,=0
一年内到期的非流动资产,="000333",="美的集团",=55471712000,=10760577000,=37553078000,=19851577000,=0,=0,=0,=0,=0
其他流动资产,="000651",="格力电器",=17537456913,=24868941754,=4704576941,=9382177587,=15617301914,=23091144217,=17110921224,=10341912578,=1992536503
其他流动资产,="000333",="美的集团",=39981584000,=62900891000,=46542378000,=33156012000,=33079918000,=65011027000,=76473827000,=46847271000,=43529597000
流动比率,="000651",="格力电器",=1.1177,=1.1351,=1.1792,=1.1459,=1.3480,=1.2583,=1.2665,=1.1630,=1.1264
流动比率,="000333",="美的集团",=1.1059,=1.1197,=1.2654,=1.1167,=1.3123,=1.5000,=1.4028,=1.4259,=1.3525
速动比率,="000651",="格力电器",=0.9684,=0.9565,=0.9864,=0.8997,=1.1519,=1.1021,=1.1259,=1.0255,=1.0409
速动比率,="000333",="美的集团",=0.9054,=0.9020,=0.9993,=0.8740,=1.1109,=1.2597,=1.1582,=1.1646,=1.1595
非流动资产合计,="000651",="格力电器",=143228795871,=139912593106,=99884719906,=93748531601,=65584936464,=69608116450,=51523208508,=43433353169,=39458921518
非流动资产合计,="000333",="美的集团",=215288067000,=204717204000,=161455996000,=139081599000,=118727278000,=85472727000,=81011710000,=78296182000,=49979391000
非流动资产占比,="000651",="格力电器",=0.3892,=0.3801,=0.2813,=0.2933,=0.2349,=0.2460,=0.2051,=0.2020,=0.2164
非流动资产占比,="000333",="美的集团",=0.3562,=0.4212,=0.3821,=0.3585,=0.3294,=0.2831,=0.3072,=0.3156,=0.2930
重资产占比,="000651",="格力电器",=0.1110,=0.1126,=0.1126,=0.1179,=0.0824,=0.0762,=0.0798,=0.0861,=0.1003
重资产占比,="000333",="美的集团",=0.0689,=0.0796,=0.0764,=0.0718,=0.0658,=0.0757,=0.0930,=0.0946,=0.1268
发放贷款及垫款(非流动),="000651",="格力电器",=431208936,=543726609,=719799280,=4142652902,=5273805582,=14423786409,=9071332785,=6673429373,=4737184236
发放贷款及垫款(非流动),="000333",="美的集团",=308903000,=975272000,=693294000,=851927000,=1113501000,=790101000,=0,=0,=0
债权投资,="000651",="格力电器",=1001466667,=1150744482,=150351500,=0,=0,=0,=0,=0,=0
债权投资,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
其他债权投资,="000651",="格力电器",=7016555221,=16363841666,=14340348883,=5910056892,=502202293,=296836282,=0,=0,=0
其他债权投资,="000333",="美的集团",=0,=6319047000,=11094259000,=7893935000,=21456155000,=0,=0,=0,=0
可供出售金融资产(非流动),="000651",="格力电器",=0,=0,=0,=0,=0,=0,=2216195036,=2174941527,=1384303560
可供出售金融资产(非流动),="000333",="美的集团",=0,=0,=0,=0,=0,=0,=1906878000,=1831051000,=5187732000
持有至到期投资,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
持有至到期投资,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
长期应收款,="000651",="格力电器",=9483114,=62185327,=116084974,=2419031,=0,=0,=0,=0,=0
长期应收款,="000333",="美的集团",=118871000,=250519000,=614598000,=871356000,=981623000,=1208079000,=34815000,=362248000,=33868000
长期股权投资,="000651",="格力电器",=4355712252,=4488967031,=5892290569,=10337008015,=8119841062,=7064186161,=2250732462,=110391369,=103913172
长期股权投资,="000333",="美的集团",=5223478000,=4976109000,=5188817000,=3796705000,=2901337000,=2790806000,=2713316000,=2633698000,=2211732000
其他权益工具投资,="000651",="格力电器",=3039588563,=3864865509,=4669455798,=10114246030,=7788405891,=4644601698,=0,=0,=0
其他权益工具投资,="000333",="美的集团",=35595000,=37874000,=41359000,=45747000,=46651000,=0,=0,=0,=0
其他非流动金融资产,="000651",="格力电器",=0,=0,=4428003204,=81309327,=2003483333,=2003483333,=0,=0,=0
其他非流动金融资产,="000333",="美的集团",=4880452000,=7769938000,=10625244000,=5912873000,=3360849000,=1750107000,=0,=0,=0
投资性房地产,="000651",="格力电器",=464658386,=633262161,=634689202,=454854823,=463420861,=498648692,=537589343,=516630136,=597736634
投资性房地产,="000333",="美的集团",=1184541000,=1293629000,=809936000,=859195000,=405559000,=399335000,=391765000,=420802000,=494122000
固定资产,="000651",="格力电器",=36996168857,=34034829116,=33817019391,=31188726143,=18990525088,=19121930757,=18385761476,=17482114256,=17718605124
固定资产,="000333",="美的集团",=33528908000,=30937963000,=26082992000,=22852848000,=22239214000,=21664682000,=22437212000,=22600724000,=21056791000
(其中)固定资产清理,="000651",="格力电器",=0,=0,=0,=0,=0,=10905964,=0,=14742800,=36949646
(其中)固定资产清理,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
固定资产占总资产比率,="000651",="格力电器",=0.1005,=0.0925,=0.0953,=0.0976,=0.0680,=0.0676,=0.0732,=0.0813,=0.0972
固定资产占总资产比率,="000333",="美的集团",=0.0555,=0.0637,=0.0617,=0.0589,=0.0617,=0.0717,=0.0851,=0.0911,=0.1234
在建工程,="000651",="格力电器",=3076380869,=6563911379,=5966678892,=6481236333,=4016082730,=2431051410,=1663938989,=1020709311,=581543757
在建工程,="000333",="美的集团",=5363977000,=4681220000,=3843777000,=2690930000,=1477302000,=1194650000,=2077621000,=879576000,=580729000
(其中)工程物资,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)工程物资,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
在建工程占固定资产比率,="000651",="格力电器",=0.0832,=0.1929,=0.1764,=0.2078,=0.2115,=0.1271,=0.0905,=0.0584,=0.0328
在建工程占固定资产比率,="000333",="美的集团",=0.1600,=0.1513,=0.1474,=0.1178,=0.0664,=0.0551,=0.0926,=0.0389,=0.0276
生产性生物资产,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
生产性生物资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
油气资产,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
油气资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
公益性生物资产,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
公益性生物资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
使用权资产,="000651",="格力电器",=789763791,=842250508,=207344779,=14603283,=0,=0,=0,=0,=0
使用权资产,="000333",="美的集团",=2771967000,=3048785000,=2339878000,=2297354000,=0,=0,=0,=0,=0
无形资产,="000651",="格力电器",=10438873258,=10827694522,=11621853071,=9916967208,=5878288763,=5305541099,=5204500167,=3604467335,=3355276285
无形资产,="000333",="美的集团",=17008978000,=18457736000,=16908915000,=17173072000,=15422393000,=15484179000,=16186675000,=15167036000,=6868538000
(其中)数据资源,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)数据资源,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
开发支出,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
开发支出,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)数据资源,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
(其中)数据资源,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
商誉,="000651",="格力电器",=1367729072,=1452496852,=1659358399,=707629136,=201902704,=325919391,=51804350,=0,=0
商誉,="000333",="美的集团",=29581014000,=30858237000,=28548653000,=27874752000,=29557218000,=28207065000,=29100390000,=28903785000,=5730995000
商誉占净资产比率,="000651",="格力电器",=0.0097,=0.0120,=0.0163,=0.0066,=0.0017,=0.0029,=0.0006,=0,=0
商誉占净资产比率,="000333",="美的集团",=0.1299,=0.1770,=0.1879,=0.2067,=0.2379,=0.2624,=0.3148,=0.3486,=0.0831
长期待摊费用,="000651",="格力电器",=37344681,=24275475,=22862394,=18724026,=8567924,=2718105,=4237554,=2208647,=1051287
长期待摊费用,="000333",="美的集团",=1864261000,=1736199000,=1579899000,=1394240000,=1300962000,=1267127000,=1191373000,=859106000,=625971000
递延所得税资产,="000651",="格力电器",=17670885569,=16561437022,=14598866870,=13661849773,=11550292201,=12541085078,=11349573710,=10838333081,=9667717152
递延所得税资产,="000333",="美的集团",=14074278000,=12771150000,=10244296000,=8192309000,=7208635000,=5768993000,=4421313000,=4023334000,=3030383000
其他非流动资产,="000651",="格力电器",=56532976636,=42498105445,=1039712699,=716248680,=788118031,=948328035,=787542637,=1010128134,=1311590311
其他非流动资产,="000333",="美的集团",=99342844000,=80603526000,=42840079000,=36374356000,=11255879000,=4947603000,=550352000,=614822000,=4158530000
二、负债合计,="000651",="格力电器",=226518009575,=247407749160,=253148710865,=211672732614,=162337436540,=170924500892,=158519445549,=148133201565,=127446102259
二、负债合计,="000333",="美的集团",=376684462000,=311738535000,=270631465000,=253121028000,=236145503000,=194459322000,=171246631000,=165181687000,=101624015000
有息负债,="000651",="格力电器",=74006344725,=87110444768,=84486194623,=39066659742,=23201159352,=19418521325,=22640994663,=19528817534,=11245360995
有息负债,="000333",="美的集团",=89898052000,=76374212000,=69659996000,=56011395000,=59330157000,=48549909000,=40984980000,=40459444000,=10382634000
有息负债率,="000651",="格力电器",=0.2011,=0.2367,=0.2380,=0.1222,=0.0831,=0.0686,=0.0901,=0.0908,=0.0617
有息负债率,="000333",="美的集团",=0.1488,=0.1571,=0.1649,=0.1444,=0.1646,=0.1608,=0.1554,=0.1631,=0.0609
资产负债率,="000651",="格力电器",=0.6155,=0.6722,=0.7130,=0.6623,=0.5814,=0.6040,=0.6310,=0.6891,=0.6988
资产负债率,="000333",="美的集团",=0.6233,=0.6414,=0.6405,=0.6525,=0.6553,=0.6440,=0.6494,=0.6658,=0.5957
流动负债合计,="000651",="格力电器",=201125441382,=200983299756,=216371936816,=197101385429,=158478718131,=169568300210,=157686125988,=147490788890,=126876279739
流动负债合计,="000333",="美的集团",=351819806000,=251245721000,=206341741000,=222851476000,=184150502000,=144318484000,=130231088000,=119091857000,=89184000000
流动负债占比,="000651",="格力电器",=0.8879,=0.8124,=0.8547,=0.9312,=0.9762,=0.9921,=0.9947,=0.9957,=0.9955
流动负债占比,="000333",="美的集团",=0.9340,=0.8060,=0.7624,=0.8804,=0.7798,=0.7422,=0.7605,=0.7210,=0.8776
短期借款,="000651",="格力电器",=39009527273,=26443476389,=52895851288,=27617920548,=20304384742,=15944176463,=22067750003,=18646095044,=10701081645
短期借款,="000333",="美的集团",=31008549000,=8819176000,=5169480000,=5381623000,=9943929000,=5701838000,=870390000,=2584102000,=3024426000
向中央银行借款,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=4274000
向中央银行借款,="000333",="美的集团",=0,=0,=0,=178878000,=0,=0,=99754000,=0,=0
拆入资金,="000651",="格力电器",=0,=0,=0,=300021500,=300020250,=1000446667,=0,=0,=0
拆入资金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
衍生金融负债,="000651",="格力电器",=170740735,=4079920,=184811895,=0,=0,=0,=257364882,=615777703,=394763490
衍生金融负债,="000333",="美的集团",=2631860000,=257668000,=234606000,=157602000,=161225000,=27100000,=756299000,=90432000,=89838000
交易性金融负债,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
交易性金融负债,="000333",="美的集团",=873776000,=1346674000,=1580771000,=0,=0,=0,=0,=0,=0
应付票据及应付账款,="000651",="格力电器",=61570321509,=64888487622,=71465972309,=76619075425,=53031731117,=66942023596,=49822799753,=44319815873,=38668803711
应付票据及应付账款,="000333",="美的集团",=118774248000,=94238073000,=89805646000,=98735566000,=82180200000,=66427377000,=60226741000,=60352562000,=43841899000
(其中)应付票据,="000651",="格力电器",=14479000765,=23741128400,=38609900820,=40743984514,=21427071950,=25285207844,=10835428282,=9766929541,=9127336850
(其中)应付票据,="000333",="美的集团",=25973822000,=21707608000,=25572421000,=32752007000,=28249939000,=23891600000,=23325115000,=25207785000,=18484939000
(其中)应付账款,="000651",="格力电器",=47091320744,=41147359222,=32856071489,=35875090911,=31604659167,=41656815752,=38987371471,=34552886332,=29541466861
(其中)应付账款,="000333",="美的集团",=92800426000,=72530465000,=64233225000,=65983559000,=53930261000,=42535777000,=36901626000,=35144777000,=25356960000
预收账款,="000651",="格力电器",=0,=0,=0,=0,=0,=8225707662,=9792041417,=14143038243,=10021885516
预收账款,="000333",="美的集团",=0,=0,=0,=0,=0,=16231854000,=16781666000,=17409063000,=10252375000
合同负债,="000651",="格力电器",=12491059929,=13588771211,=14972336715,=15505499179,=11678180425,=0,=0,=0,=0
合同负债,="000333",="美的集团",=49254717000,=41765475000,=27960038000,=23916595000,=18400922000,=0,=0,=0,=0
卖出回购金融资产,="000651",="格力电器",=0,=0,=0,=746564041,=475033836,=2074500000,=0,=0,=0
卖出回购金融资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
吸收存款及同业存放,="000651",="格力电器",=307788319,=254616899,=219111070,=182681906,=261006708,=352512312,=315879779,=266944788,=145241859
吸收存款及同业存放,="000333",="美的集团",=137344000,=88960000,=77469000,=78180000,=87535000,=62477000,=44386000,=108926000,=36708000
代理买卖证券款,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
代理买卖证券款,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
代理承销证券款,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
代理承销证券款,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
应付职工薪酬,="000651",="格力电器",=4390657220,=4288611386,=3897862092,=3466630402,=3365355469,=3430968964,=2473204452,=1876728937,=1702949427
应付职工薪酬,="000333",="美的集团",=9160841000,=9076027000,=7152217000,=7535168000,=6954822000,=6436109000,=5788004000,=5247500000,=3154387000
应交税费,="000651",="格力电器",=2713045051,=4337631560,=3819424639,=2230471191,=2301355583,=3703779716,=4848347674,=3908873986,=3126302754
