财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
支付保单红利的现金,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
为交易目的而持有的金融资产净增加额,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
为交易目的而持有的金融资产净增加额,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
支付利息、手续费及佣金的现金,="000651",="格力电器",=157403936,=126487510,=72151068,=525419504,=312753420,=103327388,=31566055,=184827335,=94593790
支付利息、手续费及佣金的现金,="000333",="美的集团",=5040000,=35232000,=57141000,=101110000,=113517000,=134251000,=198761000,=253650000,=442446000
支付给职工及为职工支付的现金,="000651",="格力电器",=11779145122,=11191368140,=10236422672,=9848593393,=8901277137,=8831213736,=8575412582,=7684869152,=5657046182
支付给职工及为职工支付的现金,="000333",="美的集团",=43788585000,=38605604000,=35674963000,=32095846000,=28460318000,=26851139000,=24709578000,=22740541000,=11652740000
支付的各种税费,="000651",="格力电器",=16976161859,=17572921744,=12501020989,=8371839467,=8184052901,=15128311797,=15141797895,=13196771806,=11333898758
支付的各种税费,="000333",="美的集团",=19521276000,=18488931000,=17387253000,=15613276000,=13407607000,=14897513000,=13739262000,=11139448000,=8824342000
支付的其他与经营活动有关现金,="000651",="格力电器",=10924246752,=17557320671,=10486879811,=12725203596,=15530492100,=21526452793,=15026834184,=15589887100,=8371524851
支付的其他与经营活动有关现金,="000333",="美的集团",=41276014000,=40934379000,=34645096000,=34225730000,=34433194000,=41131761000,=32465212000,=29139920000,=21818021000
经营活动现金流出小计,="000651",="格力电器",=150155050235,=172598490571,=169919244885,=175306897458,=144654127012,=147302209221,=119268972160,=97282757643,=60655483825
经营活动现金流出小计,="000333",="美的集团",=352263561000,=314931134000,=309110159000,=295323793000,=223427929000,=213532774000,=198480626000,=182872989000,=135963803000
经营活动产生的现金流量净额,="000651",="格力电器",=29369250571,=56398426354,=28668435921,=1894363259,=19238637309,=27893714094,=26940791543,=16358538248,=14859952107
经营活动产生的现金流量净额,="000333",="美的集团",=60511572000,=57902611000,=34657828000,=35091704000,=29557117000,=38590404000,=27861080000,=24442623000,=26695009000
投资活动产生的现金流量金额,,,,,,,,,,,
收回投资收到的现金,="000651",="格力电器",=28787096787,=21852693438,=6897604278,=7349802108,=9520639757,=3130974036,=6710785948,=3403888789,=3142289553
收回投资收到的现金,="000333",="美的集团",=112907842000,=116074693000,=98564716000,=121628148000,=141821724000,=84852601000,=65711622000,=85127382000,=73905220000
取得投资收益所收到的现金,="000651",="格力电器",=618087954,=688434561,=96017803,=161515419,=305411730,=426919989,=579489615,=152095873,=264728492
取得投资收益所收到的现金,="000333",="美的集团",=3984518000,=5336233000,=3800095000,=5648277000,=4874990000,=4026590000,=2097948000,=2727603000,=1954049000
处置固定资产、无形资产及其他长期资产收到的现金,="000651",="格力电器",=183166640,=1931290335,=22767687,=14956810,=6631830,=9614514,=6302073,=3549494,=27196375
处置固定资产、无形资产及其他长期资产收到的现金,="000333",="美的集团",=960404000,=391359000,=239226000,=336186000,=273544000,=125419000,=164070000,=1441101000,=191159000
处置子公司、合营联营企业及其他营业单位收到的现金净额,="000651",="格力电器",=100813456,=35000000,=67258354,=13498800,=0,=0,=0,=0,=0
处置子公司、合营联营企业及其他营业单位收到的现金净额,="000333",="美的集团",=78073000,=27134000,=14829000,=188490000,=42398000,=0,=24406000,=0,=272899000
